Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
South Carolina,US,3/26/2020 23:48,3,0,0
Louisiana,US,3/26/2020 23:48,3,0,0
Virginia,US,3/26/2020 23:48,2,0,0
Idaho,US,3/26/2020 23:48,39,0,0
Iowa,US,3/26/2020 23:48,1,0,0
Kentucky,US,3/26/2020 23:48,0,0,0
Missouri,US,3/26/2020 23:48,1,0,0
Oklahoma,US,3/26/2020 23:48,2,0,0
Colorado,US,3/26/2020 23:48,50,0,0
Idaho,US,3/26/2020 23:48,0,0,0
Illinois,US,3/26/2020 23:48,1,0,0
Indiana,US,3/26/2020 23:48,1,0,0
Iowa,US,3/26/2020 23:48,0,0,0
Mississippi,US,3/26/2020 23:48,3,0,0
Nebraska,US,3/26/2020 23:48,1,0,0
North Dakota,US,3/26/2020 23:48,0,0,0
Ohio,US,3/26/2020 23:48,0,0,0
Pennsylvania,US,3/26/2020 23:48,7,0,0
Washington,US,3/26/2020 23:48,3,0,0
Wisconsin,US,3/26/2020 23:48,0,0,0
Vermont,US,3/26/2020 23:48,12,0,0
South Carolina,US,3/26/2020 23:48,2,0,0
Minnesota,US,3/26/2020 23:48,0,0,0
Florida,US,3/26/2020 23:48,49,0,0
North Carolina,US,3/26/2020 23:48,4,0,0
California,US,3/26/2020 23:48,178,4,0
Colorado,US,3/26/2020 23:48,0,0,0
New York,US,3/26/2020 23:48,171,0,0
Wyoming,US,3/26/2020 23:48,1,0,0
Virginia,US,3/26/2020 23:48,6,0,0
Michigan,US,3/26/2020 23:48,0,0,0
Mississippi,US,3/26/2020 23:48,0,0,0
Alaska,US,3/26/2020 23:48,0,0,0
Alaska,US,3/26/2020 23:48,0,0,0
Illinois,US,3/26/2020 23:48,0,0,0
North Carolina,US,3/26/2020 23:48,0,0,0
Virginia,US,3/26/2020 23:48,14,0,0
Oklahoma,US,3/26/2020 23:48,0,0,0
Michigan,US,3/26/2020 23:48,0,0,0
Iowa,US,3/26/2020 23:48,7,0,0
Michigan,US,3/26/2020 23:48,1,0,0
Maryland,US,3/26/2020 23:48,0,0,0
New York,US,3/26/2020 23:48,2,0,0
North Carolina,US,3/26/2020 23:48,0,0,0
Virginia,US,3/26/2020 23:48,0,0,0
Pennsylvania,US,3/26/2020 23:48,133,2,0
Indiana,US,3/26/2020 23:48,8,1,0
Kansas,US,3/26/2020 23:48,0,0,0
Kentucky,US,3/26/2020 23:48,1,0,0
Louisiana,US,3/26/2020 23:48,5,0,0
Ohio,US,3/26/2020 23:48,0,0,0
South Carolina,US,3/26/2020 23:48,0,0,0
Michigan,US,3/26/2020 23:48,0,0,0
California,US,3/26/2020 23:48,0,0,0
California,US,3/26/2020 23:48,2,0,0
Virginia,US,3/26/2020 23:48,1,0,0
Virginia,US,3/26/2020 23:48,1,0,0
Mississippi,US,3/26/2020 23:48,1,0,0
Alaska,US,3/26/2020 23:48,28,0,0
Kansas,US,3/26/2020 23:48,0,0,0
Kentucky,US,3/26/2020 23:48,2,1,0
South Carolina,US,3/26/2020 23:48,19,0,0
Tennessee,US,3/26/2020 23:48,3,0,0
Texas,US,3/26/2020 23:48,0,0,0
Missouri,US,3/26/2020 23:48,0,0,0
Texas,US,3/26/2020 23:48,0,0,0
Maine,US,3/26/2020 23:48,5,0,0
Texas,US,3/26/2020 23:48,1,0,0
Maryland,US,3/26/2020 23:48,41,0,0
Minnesota,US,3/26/2020 23:48,8,0,0
North Carolina,US,3/26/2020 23:48,0,0,0
Nebraska,US,3/26/2020 23:48,0,0,0
Michigan,US,3/26/2020 23:48,0,0,0
Arizona,US,3/26/2020 23:48,9,0,0
Iowa,US,3/26/2020 23:48,1,0,0
Georgia,US,3/26/2020 23:48,0,0,0
Virginia,US,3/26/2020 23:48,0,0,0
Texas,US,3/26/2020 23:48,0,0,0
Colorado,US,3/26/2020 23:48,119,0,0
Texas,US,3/26/2020 23:48,0,0,0
Colorado,US,3/26/2020 23:48,0,0,0
Michigan,US,3/26/2020 23:48,0,0,0
Arkansas,US,3/26/2020 23:48,0,0,0
Virginia,US,3/26/2020 23:48,54,0,0
Pennsylvania,US,3/26/2020 23:48,1,0,0
Texas,US,3/26/2020 23:48,0,0,0
Maine,US,3/26/2020 23:48,0,0,0
Nebraska,US,3/26/2020 23:48,0,0,0
Louisiana,US,3/26/2020 23:48,91,1,0
North Carolina,US,3/26/2020 23:48,0,0,0
Ohio,US,3/26/2020 23:48,1,0,0
Wisconsin,US,3/26/2020 23:48,0,0,0
Arkansas,US,3/26/2020 23:48,0,0,0
Ohio,US,3/26/2020 23:48,3,0,0
Washington,US,3/26/2020 23:48,0,0,0
Louisiana,US,3/26/2020 23:48,5,0,0
Texas,US,3/26/2020 23:48,2,0,0
Kansas,US,3/26/2020 23:48,0,0,0
Missouri,US,3/26/2020 23:48,1,0,0
Ohio,US,3/26/2020 23:48,1,0,0
Georgia,US,3/26/2020 23:48,0,0,0
New Jersey,US,3/26/2020 23:48,10,0,0
Oklahoma,US,3/26/2020 23:48,0,0,0
Mississippi,US,3/26/2020 23:48,7,0,0
Missouri,US,3/26/2020 23:48,0,0,0
Iowa,US,3/26/2020 23:48,0,0,0
Ohio,US,3/26/2020 23:48,0,0,0
Virginia,US,3/26/2020 23:48,0,0,0
South Dakota,US,3/26/2020 23:48,0,0,0
Texas,US,3/26/2020 23:48,1,0,0
Alabama,US,3/26/2020 23:48,6,0,0
North Carolina,US,3/26/2020 23:48,0,0,0
Louisiana,US,3/26/2020 23:48,7,0,0
Colorado,US,3/26/2020 23:48,0,0,0
Georgia,US,3/26/2020 23:48,0,0,0
Texas,US,3/26/2020 23:48,0,0,0
Florida,US,3/26/2020 23:48,5,0,0
Georgia,US,3/26/2020 23:48,1,0,0
Oregon,US,3/26/2020 23:48,0,0,0
Alabama,US,3/26/2020 23:48,5,0,0
Georgia,US,3/26/2020 23:48,2,0,0
Kentucky,US,3/26/2020 23:48,0,0,0
Maryland,US,3/26/2020 23:48,81,1,0
Maryland,US,3/26/2020 23:48,72,0,0
South Carolina,US,3/26/2020 23:48,0,0,0
Texas,US,3/26/2020 23:48,0,0,0
Georgia,US,3/26/2020 23:48,0,0,0
Nebraska,US,3/26/2020 23:48,0,0,0
Idaho,US,3/26/2020 23:48,3,0,0
Michigan,US,3/26/2020 23:48,0,0,0
Kansas,US,3/26/2020 23:48,0,0,0
Alabama,US,3/26/2020 23:48,0,0,0
West Virginia,US,3/26/2020 23:48,0,0,0
North Dakota,US,3/26/2020 23:48,0,0,0
Massachusetts,US,3/26/2020 23:48,67,1,0
South Carolina,US,3/26/2020 23:48,0,0,0
Kentucky,US,3/26/2020 23:48,0,0,0
Wisconsin,US,3/26/2020 23:48,0,0,0
Georgia,US,3/26/2020 23:48,4,0,0
Michigan,US,3/26/2020 23:48,1,0,0
Missouri,US,3/26/2020 23:48,0,0,0
Indiana,US,3/26/2020 23:48,6,0,0
Kansas,US,3/26/2020 23:48,0,0,0
Missouri,US,3/26/2020 23:48,0,0,0
Georgia,US,3/26/2020 23:48,86,1,0
Texas,US,3/26/2020 23:48,2,0,0
Missouri,US,3/26/2020 23:48,1,0,0
Kentucky,US,3/26/2020 23:48,0,0,0
Virginia,US,3/26/2020 23:48,0,0,0
Arkansas,US,3/26/2020 23:48,0,0,0
Florida,US,3/26/2020 23:48,3,0,0
Michigan,US,3/26/2020 23:48,4,0,0
Wisconsin,US,3/26/2020 23:48,1,0,0
Texas,US,3/26/2020 23:48,0,0,0
South Dakota,US,3/26/2020 23:48,14,0,0
Idaho,US,3/26/2020 23:48,0,0,0
North Carolina,US,3/26/2020 23:48,3,0,0
South Carolina,US,3/26/2020 23:48,26,0,0
Louisiana,US,3/26/2020 23:48,3,0,0
Oklahoma,US,3/26/2020 23:48,0,0,0
Pennsylvania,US,3/26/2020 23:48,13,0,0
Utah,US,3/26/2020 23:48,0,0,0
Montana,US,3/26/2020 23:48,0,0,0
Minnesota,US,3/26/2020 23:48,0,0,0
Oklahoma,US,3/26/2020 23:48,0,0,0
Pennsylvania,US,3/26/2020 23:48,0,0,0
Tennessee,US,3/26/2020 23:48,1,0,0
Virginia,US,3/26/2020 23:48,3,0,0
Texas,US,3/26/2020 23:48,0,0,0
New Hampshire,US,3/26/2020 23:48,8,0,0
Kentucky,US,3/26/2020 23:48,0,0,0
Texas,US,3/26/2020 23:48,20,1,0
Ohio,US,3/26/2020 23:48,3,0,0
Minnesota,US,3/26/2020 23:48,0,0,0
Georgia,US,3/26/2020 23:48,1,0,0
Idaho,US,3/26/2020 23:48,0,0,0
South Dakota,US,3/26/2020 23:48,0,0,0
Vermont,US,3/26/2020 23:48,11,0,0
North Dakota,US,3/26/2020 23:48,0,0,0
Colorado,US,3/26/2020 23:48,0,0,0
Arkansas,US,3/26/2020 23:48,18,0,0
Indiana,US,3/26/2020 23:48,0,0,0
Iowa,US,3/26/2020 23:48,2,0,0
Minnesota,US,3/26/2020 23:48,1,0,0
Mississippi,US,3/26/2020 23:48,1,0,0
Missouri,US,3/26/2020 23:48,1,0,0
Oregon,US,3/26/2020 23:48,6,0,0
Tennessee,US,3/26/2020 23:48,1,0,0
Washington,US,3/26/2020 23:48,19,4,0
Michigan,US,3/26/2020 23:48,0,0,0
New Jersey,US,3/26/2020 23:48,1206,6,0
South Carolina,US,3/26/2020 23:48,5,0,0
West Virginia,US,3/26/2020 23:48,2,0,0
Pennsylvania,US,3/26/2020 23:48,36,0,0
Massachusetts,US,3/26/2020 23:48,73,0,0
New Mexico,US,3/26/2020 23:48,48,0,0
Georgia,US,3/26/2020 23:48,0,0,0
Michigan,US,3/26/2020 23:48,11,0,0
North Carolina,US,3/26/2020 23:48,3,0,0
Alaska,US,3/26/2020 23:48,0,0,0
Texas,US,3/26/2020 23:48,84,3,0
Alabama,US,3/26/2020 23:48,0,0,0
Georgia,US,3/26/2020 23:48,8,0,0
Louisiana,US,3/26/2020 23:48,1,1,0
Montana,US,3/26/2020 23:48,0,0,0
Wyoming,US,3/26/2020 23:48,0,0,0
Minnesota,US,3/26/2020 23:48,1,0,0
